epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,703.74,0.91537,4.1496,1.31928,0.35451,0.33539,0.22901,0.1752,0.85695,2.49199,1.29301,0.00333143,0.00333143,0.00333143
2,1407.88,1.02886,3.1207,1.34569,0.41088,0.41687,0.34126,0.24626,0.9357,2.01934,1.34243,0.0065328,0.0065328,0.0065328
3,2246.87,1.14347,2.91937,1.4058,0.32082,0.32297,0.25008,0.16998,1.15211,2.41005,1.511,0.00960217,0.00960217,0.00960217
4,2724.5,1.1826,2.58859,1.42408,0.41011,0.41997,0.3641,0.2666,0.98363,2.0087,1.36815,0.009406,0.009406,0.009406
5,3202.39,1.11008,2.21404,1.3737,0.52272,0.50247,0.48084,0.36197,0.8839,1.60422,1.28432,0.009208,0.009208,0.009208
6,3683.94,1.05111,2.00528,1.32842,0.55019,0.55478,0.52147,0.4008,0.83058,1.40514,1.23711,0.00901,0.00901,0.00901
7,4164.3,1.01591,1.87839,1.31008,0.58767,0.5743,0.54919,0.43328,0.78929,1.32841,1.20503,0.008812,0.008812,0.008812
8,4640.55,0.98264,1.77108,1.28681,0.61144,0.59779,0.58068,0.46634,0.73044,1.21068,1.16197,0.008614,0.008614,0.008614
9,5113.15,0.95234,1.68945,1.26705,0.65132,0.61186,0.60367,0.48808,0.70034,1.13972,1.13907,0.008416,0.008416,0.008416
10,5589.43,0.93174,1.63359,1.25586,0.65317,0.62296,0.62632,0.50814,0.68849,1.07473,1.12947,0.008218,0.008218,0.008218
11,6065.65,0.91012,1.55527,1.24231,0.70529,0.62814,0.65273,0.5387,0.6547,1.00816,1.11036,0.00802,0.00802,0.00802
12,6539.45,0.89911,1.51551,1.23356,0.72999,0.64593,0.65999,0.54946,0.63929,0.96569,1.09905,0.007822,0.007822,0.007822
13,7018.95,0.87923,1.47417,1.22366,0.71233,0.67148,0.66954,0.56213,0.61665,0.92876,1.0804,0.007624,0.007624,0.007624
14,7495.79,0.86687,1.434,1.21633,0.71199,0.68136,0.67841,0.5743,0.60554,0.89208,1.07207,0.007426,0.007426,0.007426
15,7973.88,0.85513,1.4026,1.20875,0.72007,0.67673,0.68761,0.58393,0.59369,0.87114,1.06053,0.007228,0.007228,0.007228
16,8450.66,0.84828,1.36702,1.20249,0.72193,0.68913,0.69459,0.59174,0.57927,0.83611,1.0528,0.00703,0.00703,0.00703
17,8924.76,0.83583,1.33304,1.1964,0.76127,0.68452,0.70411,0.60417,0.56599,0.808,1.04236,0.006832,0.006832,0.006832
18,9404.56,0.83066,1.32316,1.19409,0.72472,0.70786,0.70754,0.60783,0.56084,0.79573,1.03592,0.006634,0.006634,0.006634
